,bee_count,plant,year,month,state,county,Latitude,Longitude,scientificName,fips,lat,lon,elevation,mean_temp,wind_speed,wind_gust,precipitation
148,1,Epilobium parviflorum,2010,8,Alaska,North Slope,68.64699999999999,-149.411,Bombus balteatus,6059,33.70297871,-117.7610909,16.5,57.7,3.0,,0.0
149,1,,2008,8,Colorado,Gunnison,39.0116,-107.0526,Bombus balteatus,6073,33.03414184,-116.73530500000001,424.6,46.0,2.1,,0.0
150,1,,2008,8,Colorado,Gunnison,39.0116,-107.0526,Bombus balteatus,6075,37.75512993,-122.44088329999998,2.0,51.0,3.6,,0.0
151,1,,2008,8,Colorado,Gunnison,39.0116,-107.0526,Bombus balteatus,6085,37.231794799999996,-121.69514129999999,40.5,55.9,4.2,,0.0
152,1,,2008,8,Colorado,Gunnison,39.0116,-107.0526,Bombus balteatus,17031,41.84003921,-87.81671569,186.5,24.5,9.1,25.1,0.2
153,1,,2008,8,Colorado,Gunnison,39.0116,-107.0526,Bombus balteatus,25025,42.33390357,-71.07309944,0.0,37.6,0.0,,0.0
154,1,,2008,8,Colorado,Gunnison,39.0116,-107.0526,Bombus balteatus,48029,29.44894569,-98.52001171,210.3,51.1,7.1,17.1,0.01
155,1,,2008,8,Colorado,Gunnison,39.0116,-107.0526,Bombus balteatus,53061,48.04748918,-121.6973065,41.8,39.6,3.3,,0.01
156,1,,2008,8,Colorado,Gunnison,39.0116,-107.0526,Bombus balteatus,55025,43.06731606,-89.41815516,264.0,16.6,10.4,31.1,0.11
157,1,,2008,8,Colorado,Gunnison,39.0116,-107.0526,Bombus balteatus,4013,33.34881254,-112.4913064,295.1,58.1,3.8,,0.0
158,1,,2008,8,Colorado,Gunnison,39.9948,-107.0588,Bombus balteatus,6037,34.35892237,-118.21704869999999,305.7,61.8,0.8,,0.0
159,1,,2008,8,Colorado,Gunnison,39.9948,-107.0588,Bombus balteatus,6059,33.70297871,-117.7610909,16.5,58.6,2.1,,0.0
160,1,,2008,8,Colorado,Gunnison,39.9948,-107.0588,Bombus balteatus,6073,33.03414184,-116.73530500000001,424.6,47.0,2.3,,0.0
161,1,,2008,8,Colorado,Gunnison,39.9948,-107.0588,Bombus balteatus,6075,37.75512993,-122.44088329999998,2.0,50.4,1.8,,0.0
162,1,,2008,8,Colorado,Gunnison,39.9948,-107.0588,Bombus balteatus,6085,37.231794799999996,-121.69514129999999,40.5,54.7,3.6,,0.0
163,1,Delphinium sp.,2009,8,Colorado,Larimer,40.430409999999995,-105.73381,Bombus balteatus,17031,41.84003921,-87.81671569,186.5,6.3,7.0,21.0,0.01
164,1,Aster sp.,2009,8,Colorado,Larimer,40.430409999999995,-105.73381,Bombus balteatus,25025,42.33390357,-71.07309944,0.0,30.9,0.0,,0.0
165,1,Aster sp.,2009,8,Colorado,Larimer,40.430409999999995,-105.73381,Bombus balteatus,48029,29.44894569,-98.52001171,210.3,45.9,7.6,17.1,0.0
